optimization_state,avg_response_time,min_response_time,max_response_time,avg_cpu_usage,avg_memory_usage,avg_response_size,scenario
before,9.489154815673828,4.991054534912109,14.661788940429688,37.67,92.02,158,Dashboard Stats
after,7.05714225769043,5.006313323974609,9.004354476928711,27.39,92.02,158,Dashboard Stats
before,41.765403747558594,35.53915023803711,45.574188232421875,41.230000000000004,91.97,2152,Patient List
after,36.277103424072266,33.42771530151367,38.463592529296875,25.73,92.08,2152,Patient List
before,13.330841064453125,8.420705795288086,16.996383666992188,45.559999999999995,92.1,0,Patient Search
after,13.326168060302734,11.529922485351562,16.5402889251709,38.34,92.1,0,Patient Search
before,26.517391204833984,21.93474769592285,36.76962852478027,31.650000000000002,92.1,498,Patient Details
after,15.791845321655273,13.926506042480469,17.929553985595703,33.07,92.1,498,Patient Details
before,13.649749755859375,11.018753051757812,18.27859878540039,40.56,92.1,189,Patient Visits
after,21.90718650817871,9.996414184570312,58.34221839904785,34.980000000000004,92.1,189,Patient Visits
before,19.411325454711914,15.014171600341797,23.638010025024414,44.059999999999995,92.07,0,Diagnosis Results
after,19.997072219848633,13.707399368286133,25.50339698791504,42.44,92.0,0,Diagnosis Results
